"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","26","1","3","1.3","0.6","-"
"2",1,"Jaxon Smith-Njigba",SEA,"WR2","24","1","8","3.3","1.7","-"
"3",1,"Bijan Robinson",ATL,"RB1","24","2","5","3.5","1.2","-"
"4",1,"Puka Nacua",LAR,"WR3","25","2","5","3.6","1.2","-"
"5",1,"Jahmyr Gibbs",DET,"RB2","24","2","6","4.5","1.2","-"
"6",2,"Justin Jefferson",MIN,"WR4","27","4","11","7.3","2.1","-"
"7",2,"Amon-Ra St. Brown",DET,"WR5","26","4","10","7.6","1.5","-"
"8",2,"CeeDee Lamb",DAL,"WR6","27","4","19","9.6","3.4","-"
"9",2,"Ashton Jeanty",LV,"RB3","22","7","15","9.9","1.9","-"
"10",2,"Malik Nabers",NYG,"WR7","22","6","19","10.1","3.7","-"
"11",2,"Drake London",ATL,"WR8","25","8","17","12.0","2.5","-"
"12",2,"Jeremiyah Love",ARI,"RB4","21","9","23","12.5","2.9","-"
"13",3,"De'Von Achane",MIA,"RB5","24","9","24","14.7","3.2","-"
"14",3,"Omarion Hampton",LAC,"RB6","23","10","23","15.8","4.3","-"
"15",3,"Brock Bowers",LV,"TE1","23","6","31","17.5","6.5","-"
"16",3,"Tetairoa McMillan",CAR,"WR9","23","14","30","17.8","4.4","-"
"17",3,"James Cook III",BUF,"RB7","26","15","32","19.9","5.3","-"
"18",3,"Nico Collins",HOU,"WR10","27","14","30","20.4","4.4","-"
"19",3,"Jonathan Taylor",IND,"RB8","27","11","37","21.3","6.1","-"
"20",3,"Josh Allen",BUF,"QB1","30","14","39","22.5","5.9","-"
"21",3,"Emeka Egbuka",TB,"WR11","23","14","40","23.2","6.5","-"
"22",3,"George Pickens",DAL,"WR12","25","15","43","23.5","7.0","-"
"23",3,"Trey McBride",ARI,"TE2","26","8","44","24.2","9.7","-"
"24",4,"Chris Olave",NO,"WR13","26","18","37","26.3","4.7","-"
"25",4,"Carnell Tate",TEN,"WR14","21","18","38","26.7","6.0","-"
"26",4,"Drake Maye",NE,"QB2","23","19","42","27.0","7.2","-"
"27",4,"Garrett Wilson",NYJ,"WR15","26","21","35","27.6","4.3","-"
"28",4,"Kenneth Walker III",KC,"RB9","25","16","50","28.9","9.1","-"
"29",4,"Ladd McConkey",LAC,"WR16","24","25","47","31.3","5.8","-"
"30",4,"Breece Hall",NYJ,"RB10","25","21","52","32.8","8.6","-"
"31",4,"A.J. Brown",NE,"WR17","29","20","48","34.4","7.1","-"
"32",4,"Colston Loveland",CHI,"TE3","22","15","47","34.7","11.3","-"
"33",4,"Jayden Daniels",WAS,"QB3","25","25","54","36.1","9.0","-"
"34",4,"DeVonta Smith",PHI,"WR18","27","23","47","36.2","5.8","-"
"35",4,"Jordyn Tyson",NO,"WR19","21","22","58","36.6","8.6","-"
"36",4,"Lamar Jackson",BAL,"QB4","29","25","67","36.7","10.0","-"
"37",4,"Luther Burden III",CHI,"WR20","22","22","59","36.8","10.8","-"
"38",5,"Zay Flowers",BAL,"WR21","25","27","67","37.1","9.3","-"
"39",5,"Chase Brown",CIN,"RB11","26","24","55","42.0","7.8","-"
"40",5,"Makai Lemon",PHI,"WR22","22","24","71","42.0","10.8","-"
"41",5,"Tee Higgins",CIN,"WR23","27","30","62","42.7","9.0","-"
"42",5,"Jaylen Waddle",DEN,"WR24","27","32","59","43.2","8.0","-"
"43",5,"Tyler Warren",IND,"TE4","24","28","56","44.1","6.5","-"
"44",5,"Joe Burrow",CIN,"QB5","29","35","68","45.1","7.0","-"
"45",5,"Rashee Rice",KC,"WR25","26","22","79","45.3","16.1","-"
"46",5,"Rome Odunze",CHI,"WR26","24","30","71","45.7","11.2","-"
"47",5,"Caleb Williams",CHI,"QB6","24","28","96","48.6","14.8","-"
"48",5,"TreVeyon Henderson",NE,"RB12","23","37","77","50.4","11.3","-"
"49",5,"Quinshon Judkins",CLE,"RB13","22","35","80","51.2","12.2","-"
"50",5,"Justin Herbert",LAC,"QB7","28","45","87","51.5","11.4","-"
"51",6,"Marvin Harrison Jr.",ARI,"WR27","23","37","73","52.4","12.7","-"
"52",6,"Tucker Kraft",GB,"TE5","25","43","69","52.5","6.7","-"
"53",6,"Patrick Mahomes II",KC,"QB8","30","42","90","52.7","11.3","-"
"54",6,"Saquon Barkley",PHI,"RB14","29","33","65","53.5","10.8","-"
"55",6,"Jameson Williams",DET,"WR28","25","41","75","53.6","9.0","-"
"56",6,"Christian McCaffrey",SF,"RB15","30","21","68","53.8","12.8","-"
"57",6,"Jalen Hurts",PHI,"QB9","27","42","78","54.3","7.5","-"
"58",6,"Harold Fannin Jr.",CLE,"TE6","22","48","78","56.3","6.8","-"
"59",6,"Brian Thomas Jr.",JAC,"WR29","23","38","74","56.8","10.7","-"
"60",6,"Kyren Williams",LAR,"RB16","25","34","80","58.2","12.2","-"
"61",6,"Trevor Lawrence",JAC,"QB10","26","51","90","60.8","11.1","-"
"62",6,"Sam LaPorta",DET,"TE7","25","51","70","61.5","5.4","-"
"63",6,"Travis Etienne Jr.",NO,"RB17","27","51","69","63.6","5.3","-"
"64",6,"Kyle Pitts Sr.",ATL,"TE8","25","53","80","64.5","7.3","-"
"65",6,"KC Concepcion",CLE,"WR30","21","40","99","67.4","13.3","-"
"66",6,"Cam Skattebo",NYG,"RB18","24","52","81","67.5","6.9","-"
"67",6,"Bucky Irving",TB,"RB19","23","49","87","67.7","10.8","-"
"68",6,"Brock Purdy",SF,"QB11","26","56","108","69.0","13.0","-"
"69",6,"Jaxson Dart",NYG,"QB12","23","54","117","69.5","18.6","-"
"70",6,"Javonte Williams",DAL,"RB20","26","52","86","70.0","10.5","-"
"71",6,"Jadarian Price",SEA,"RB21","22","49","87","70.6","10.2","-"
"72",6,"Christian Watson",GB,"WR31","27","47","88","70.6","10.6","-"
"73",7,"Terry McLaurin",WAS,"WR32","30","70","83","76.4","3.5","-"
"74",7,"Bo Nix",DEN,"QB13","26","61","99","77.0","12.7","-"
