"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","26","1","3","1.2","0.5","-"
"2",1,"Jaxon Smith-Njigba",SEA,"WR2","24","1","8","3.2","1.7","-"
"3",1,"Puka Nacua",LAR,"WR3","25","2","5","3.5","1.2","-"
"4",1,"Bijan Robinson",ATL,"RB1","24","2","6","3.7","1.3","-"
"5",1,"Jahmyr Gibbs",DET,"RB2","24","2","6","4.6","1.2","-"
"6",2,"Amon-Ra St. Brown",DET,"WR4","26","4","10","7.3","1.8","-"
"7",2,"Justin Jefferson",MIN,"WR5","27","4","11","7.3","2.0","-"
"8",2,"CeeDee Lamb",DAL,"WR6","27","4","19","9.4","3.2","-"
"9",2,"Ashton Jeanty",LV,"RB3","22","7","15","9.8","1.8","-"
"10",2,"Malik Nabers",NYG,"WR7","22","6","19","10.4","3.9","-"
"11",2,"Drake London",ATL,"WR8","25","8","17","11.9","2.5","-"
"12",2,"Jeremiyah Love",ARI,"RB4","21","9","23","12.4","2.7","-"
"13",3,"De'Von Achane",MIA,"RB5","24","9","24","14.5","3.1","-"
"14",3,"Omarion Hampton",LAC,"RB6","23","10","23","15.6","4.2","-"
"15",3,"Tetairoa McMillan",CAR,"WR9","23","14","30","17.4","4.3","-"
"16",3,"Brock Bowers",LV,"TE1","23","6","31","18.1","6.4","-"
"17",3,"James Cook III",BUF,"RB7","26","15","32","19.1","4.7","-"
"18",3,"Nico Collins",HOU,"WR10","27","14","30","20.1","4.4","-"
"19",3,"Jonathan Taylor",IND,"RB8","27","11","37","21.1","5.9","-"
"20",3,"Josh Allen",BUF,"QB1","30","14","39","22.1","5.7","-"
"21",3,"Emeka Egbuka",TB,"WR11","23","14","40","22.7","6.4","-"
"22",3,"George Pickens",DAL,"WR12","25","15","43","23.2","6.7","-"
"23",4,"Trey McBride",ARI,"TE2","26","8","44","24.9","9.4","-"
"24",4,"Chris Olave",NO,"WR13","26","18","37","26.1","4.5","-"
"25",4,"Carnell Tate",TEN,"WR14","21","18","38","26.8","5.7","-"
"26",4,"Drake Maye",NE,"QB2","23","19","42","26.8","6.9","-"
"27",4,"Garrett Wilson",NYJ,"WR15","26","21","37","28.3","4.7","-"
"28",4,"Kenneth Walker III",KC,"RB9","25","16","50","28.4","8.8","-"
"29",4,"Ladd McConkey",LAC,"WR16","24","22","47","30.9","5.8","-"
"30",4,"Breece Hall",NYJ,"RB10","25","21","52","33.4","9.1","-"
"31",4,"A.J. Brown",NE,"WR17","29","20","48","34.1","6.8","-"
"32",4,"Jayden Daniels",WAS,"QB3","25","25","54","35.3","8.9","-"
"33",4,"Colston Loveland",CHI,"TE3","22","15","47","35.4","11.1","-"
"34",4,"DeVonta Smith",PHI,"WR18","27","23","47","35.7","5.9","-"
"35",4,"Luther Burden III",CHI,"WR19","22","22","59","36.4","10.3","-"
"36",4,"Lamar Jackson",BAL,"QB4","29","25","67","36.7","9.5","-"
"37",5,"Jordyn Tyson",NO,"WR20","21","22","58","36.8","8.2","-"
"38",5,"Zay Flowers",BAL,"WR21","25","27","67","37.0","9.0","-"
"39",5,"Chase Brown",CIN,"RB11","26","24","55","41.0","7.5","-"
"40",5,"Makai Lemon",PHI,"WR22","22","24","71","41.5","10.3","-"
"41",5,"Tee Higgins",CIN,"WR23","27","30","62","42.3","8.7","-"
