"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","26","1","2","1.1","0.3","+2"
"2",1,"Jaxon Smith-Njigba",SEA,"WR2","24","2","5","2.9","1.3","+3"
"3",1,"Puka Nacua",LAR,"WR3","25","3","5","3.8","0.8","+1"
"4",1,"Bijan Robinson",ATL,"RB1","24","2","5","3.9","1.2","-3"
"5",1,"Jahmyr Gibbs",DET,"RB2","24","2","6","4.2","1.4","-3"
"6",2,"Amon-Ra St. Brown",DET,"WR4","26","4","9","5.8","1.7","+1"
"7",2,"Justin Jefferson",MIN,"WR5","27","6","13","8.5","2.1","+1"
"8",2,"CeeDee Lamb",DAL,"WR6","27","7","13","9.5","2.2","+3"
"9",2,"Ashton Jeanty",LV,"RB3","22","8","16","10.8","2.6","-3"
"10",2,"Malik Nabers",NYG,"WR7","23","8","19","11.7","3.1","0"
"11",2,"Drake London",ATL,"WR8","25","9","14","11.8","1.9","+8"
"12",3,"James Cook III",BUF,"RB4","26","8","20","14.5","3.6","+5"
"13",3,"Jeremiyah Love",ARI,"RB5","21","8","62","16.0","13.6","+2"
"14",3,"De'Von Achane",MIA,"RB6","24","10","24","16.1","3.8","0"
"15",3,"Brock Bowers",LV,"TE1","23","6","23","17.6","5.3","-3"
"16",3,"Jonathan Taylor",IND,"RB7","27","9","35","17.7","7.6","-3"
"17",3,"Nico Collins",HOU,"WR9","27","14","27","18.1","4.0","+10"
"18",3,"Tetairoa McMillan",CAR,"WR10","23","14","27","18.9","4.0","+5"
"19",3,"Omarion Hampton",LAC,"RB8","23","12","35","20.0","5.9","-3"
"20",3,"George Pickens",DAL,"WR11","25","14","27","20.2","4.3","0"
"21",4,"Josh Allen",BUF,"QB1","30","19","25","21.5","2.5","-12"
"22",4,"Chris Olave",NO,"WR12","26","18","29","24.1","3.5","+8"
"23",4,"Trey McBride",ARI,"TE2","26","9","33","25.5","7.6","-5"
"24",4,"Emeka Egbuka",TB,"WR13","23","18","38","26.1","6.2","0"
"25",4,"Kenneth Walker III",KC,"RB9","25","15","50","27.5","11.0","+1"
"26",4,"Drake Maye",NE,"QB2","24","19","49","28.3","6.9","-4"
"27",4,"Garrett Wilson",NYJ,"WR14","26","22","41","29.2","5.5","+8"
"28",4,"Zay Flowers",BAL,"WR15","25","26","41","30.7","3.8","+19"
"29",5,"Lamar Jackson",BAL,"QB3","29","24","51","33.2","7.9","+2"
"30",5,"DeVonta Smith",PHI,"WR16","27","24","43","33.6","5.4","+18"
"31",5,"Carnell Tate",TEN,"WR17","21","18","71","33.9","14.8","+9"
"32",5,"A.J. Brown",NE,"WR18","29","17","48","35.1","8.9","+5"
"33",5,"Ladd McConkey",LAC,"WR19","24","27","47","35.3","5.4","-1"
"34",5,"Tee Higgins",CIN,"WR20","27","27","47","36.0","6.2","+19"
"35",5,"Luther Burden III",CHI,"WR21","22","21","57","36.5","9.6","+11"
"36",5,"Colston Loveland",CHI,"TE3","22","18","47","36.7","9.2","-7"
"37",5,"Jayden Daniels",WAS,"QB4","25","28","46","37.0","5.8","+5"
"38",5,"Breece Hall",NYJ,"RB10","25","24","59","37.4","11.7","-2"
"39",5,"Chase Brown",CIN,"RB11","26","21","50","39.1","6.3","-14"
"40",5,"Joe Burrow",CIN,"QB5","29","28","51","42.1","5.9","-2"
"41",5,"Tyler Warren",IND,"TE4","24","29","48","43.1","5.9","-7"
"42",5,"Jaylen Waddle",DEN,"WR22","27","32","60","43.5","8.1","+19"
"43",5,"Rashee Rice",KC,"WR23","26","22","82","44.5","18.8","-4"
"44",6,"Christian McCaffrey",SF,"RB12","30","11","65","48.3","18.1","-23"
"45",6,"Makai Lemon",PHI,"WR24","22","33","83","48.6","14.9","+21"
"46",6,"Tucker Kraft",GB,"TE5","25","43","53","48.7","3.0","+12"
"47",6,"Justin Herbert",LAC,"QB6","28","42","65","48.9","6.0","+24"
"48",6,"Rome Odunze",CHI,"WR25","24","34","73","48.9","11.2","+2"
"49",6,"Caleb Williams",CHI,"QB7","24","36","96","50.7","15.2","+2"
"50",6,"Saquon Barkley",PHI,"RB13","29","21","64","51.3","12.4","-22"
